날짜,의류/잡화,소비판매지수,소비자물가지수,월
201001,-18.0,-0.0950819672131147,0.007900144068397,1
201002,0.3,-0.0169082125603863,0.0020152077890123,2
201003,15.8,0.0540540540540539,0.0020228476550168,3
201004,0.8,-0.0186480186480185,0.004025858849888,4
201005,9.5,0.0427553444180521,0.001011145849072,5
201006,-12.1,-0.0193621867881549,-0.0010101244659111,6
201007,-7.0,0.0139372822299652,0.0020106693320627,7
201008,-6.8,-0.0389461626575027,0.0050223861553808,8
201009,13.6,0.0679380214541118,0.0079633455284082,9
201010,15.8,0.0122767857142858,0.0,10
201011,9.3,0.0121278941565601,-0.0049349073130516,11
201012,-5.6,0.0359477124183005,0.0039698064575517,12
201101,-13.1,-0.0347003154574132,0.0118852505988469,1
201102,-6.6,-0.1198257080610022,0.006841246828561,2
201103,13.9,0.1212871287128711,0.003892363767268,3
201104,4.1,-0.0121412803532008,0.0009749209977811,4
201105,11.1,0.0458100558659217,0.0019255527567869,5
201106,-12.7,-0.0235042735042734,0.0019330256880119,6
201107,-8.7,-0.0043763676148796,0.0048176647708264,7
201108,-9.7,-0.0318681318681319,0.0067146123282499,8
201109,19.4,0.0499432463110103,-0.000959132150771,9
201110,15.5,0.012972972972973,-0.0018980357536968,10
201111,-5.2,-0.0010672358591249,0.0009508225720857,11
201112,5.4,0.0438034188034188,0.0038107230432764,12
201201,-13.1,-0.0399181166837258,0.003994322120622,1
201202,-2.7,-0.08955223880597,0.0037921132811642,2
201203,5.9,0.0737704918032786,0.0002838799842774,3
201204,3.5,-0.0196292257360959,-9.82382605279053e-05,4
201205,14.6,0.0700778642936594,0.0017902952895585,5
201206,-17.1,-0.0363825363825364,-0.0014166003770337,6
201207,-4.9,0.0194174757281553,-0.0022588635842817,7
201208,-17.5,-0.0539682539682538,0.0046263890104121,8
201209,28.7,0.0659955257270692,0.0071525774318219,9
201210,12.2,-0.0010493179433367,-0.0018700276720857,10
201211,2.8,0.0241596638655461,-0.0035521285697267,11
201212,-3.1,0.0235897435897436,0.0017823955831368,12
201301,-15.6,-0.0861723446893787,0.0059994575535664,1
201302,-6.9,-0.0482456140350877,0.0033431110344233,2
201303,18.3,0.0783410138248847,-0.0009243534899717,3
201304,-1.0,-0.0181623931623929,-0.0013878130648077,4
201305,15.4,0.0522306855277474,0.0,5
201306,-15.3,-0.0361944157187177,-0.0012173706947631,6
201307,-5.9,0.0225321888412015,0.0021464782655593,7
201308,-14.9,-0.0440713536201469,0.0035410993552831,8
201309,20.1,0.0318331503841933,0.0019412685814796,9
201310,17.7,0.0329787234042553,-0.0030507712563825,10
201311,2.1,0.0164778578784758,-0.0001932699121696,11
201312,-0.7,0.0121580547112463,0.0012135401005197,12
201401,-17.5,-0.035035035035035,0.0053738643555116,1
201402,-8.6,-0.1006224066390041,0.0026672356769443,2
201403,20.7,0.1038062283737024,0.0018408171951478,3
201404,-0.3,-0.0334378265412748,0.000647881639459,4
201405,7.0,0.0605405405405405,0.001645190735984,5
201406,-12.5,-0.0366972477064219,-0.0012822007226949,6
201407,-2.5,0.0201058201058201,0.0014642220524572,7
201408,-11.3,-0.0248962655601659,0.0017481406140742,8
201409,11.3,0.0180851063829787,-0.0006451544669014,9
201410,19.2,0.0177638453500523,-0.0030161921896496,10
201411,-1.1,0.0266940451745378,-0.0020168780850272,11
201412,0.0,0.052,-9.57294048822277e-05,12
201501,-18.2,-0.1045627376425855,0.006776163223624,1
201502,-6.7,-0.0138004246284501,-0.0005916972200796,2
201503,25.2,0.0678148546824541,9.515049636843464e-05,3
201504,-0.9,-0.0050403225806451,0.0003065668738635,4
201505,11.8,0.0395136778115501,0.0028005284015852,5
201506,-19.0,-0.074074074074074,0.0002002318474023,6
201507,0.1,0.0305263157894737,0.0018017258637219,7
201508,-10.1,-0.0234933605720123,0.0013988220445939,8
201509,11.5,0.0690376569037658,-0.0025941835673699,9
201510,17.3,0.0401174168297455,0.0,10
201511,-1.7,0.0,-0.0018954152012298,11
201512,-0.5,0.0253998118532454,0.0029962230709175,12
201601,-15.5,-0.0862385321100918,0.0017040075733669,1
201602,-8.9,-0.0401606425702811,0.0042842741935484,2
201603,21.1,0.0930962343096235,-0.0025826014219991,3
201604,3.1,-0.0229665071770335,0.0018869309068798,4
201605,8.2,0.0509304603330069,0.0005964027497304,5
201606,-9.9,-0.0363466915191051,-0.000198682421834,6
201607,-6.5,-0.0125725338491297,-0.0018826285678427,7
201608,-12.2,-0.0127326150832517,0.0025777787092244,8
201609,8.4,0.0138888888888888,0.0059575446554551,9
201610,15.8,0.0606653620352251,0.0013714713185866,10
201611,2.8,0.0064575645756457,-0.0014733500036315,11
201612,-4.5,0.0192483959670028,0.0010910564543782,12
201701,-13.4,-0.0710431654676259,0.0106288015611051,1
201702,-4.7,-0.0784123910939011,0.0027319598217037,2
201703,20.7,0.1071428571428572,-0.0006862504097018,3
201704,2.4,-0.0142314990512334,-0.0012606979962076,4
201705,5.0,0.0356111645813281,0.0010673015742699,5
201706,-10.8,-0.0315985130111523,-0.0021323273122425,6
201707,-4.2,0.0067178502879079,0.0016540302862191,7
201708,-11.7,-0.0343183984747379,0.0057333921373554,8
201709,18.0,0.0809476801579467,0.0011625772501988,9
201710,1.9,-0.0136986301369863,-0.0009676893615286,10
201711,9.9,0.0648148148148148,-0.0074431314171519,11
201712,-5.9,-0.0182608695652173,0.003605658109649,12
201801,-16.7,-0.0673162090345439,0.0041761346189277,1
201802,-7.0,-0.0341880341880341,0.0076345993109494,2
201803,25.5,0.1140609636184857,-0.0010520459258509,3
