날짜,합계,전자상거래/통신판매,식료품,의류/잡화,연료,가구/가전,의료/보건,종합병원,일반병의원/기타의료기관,자동차,여행/교통,스포츠/오락/여가,서적/문구,교육,숙박,음식점,공과금/개인및전문서비스,금융/보험
2012/11,,,,,,,,,,,,,,,,,,
2012/12,0.0018184658071582,-0.0055355802919605,-0.0085603534181162,-0.0626922431259967,-0.0507394187665635,-0.1505332151045084,-0.0800725808137657,-0.0665877894204058,-0.0848232874066161,0.1544233992088923,0.0370435840248073,-0.1637148501914875,0.0822580585253507,-0.0551052055487054,0.1204450294881185,0.0843122420980375,-0.0037674792597055,-0.0403644568370835
2013/01,-0.0444421337222045,-0.0475790100237457,0.0264373873929084,-0.156039297285081,-0.0231711556812836,-0.006880198434915,0.1347970081358034,0.1329536885352471,0.1354599787244115,-0.3090561302298019,0.059997558975771,-0.1139718624905183,-0.0692151848284565,0.0398289221145415,0.0014340947887765,-0.0887907388695817,0.1753818358257215,-0.0102489005129199
2013/02,-0.0024264345383516,-0.046021769026817,0.2141211008798713,0.0311395216253398,0.0086924716995118,0.0807696849679247,-0.0402563986460919,-0.0511402013180759,-0.036354721144556,0.1487550573823142,-0.0500101435427281,-0.0590653486608699,-0.0114606856123358,0.0635763180964836,-0.179449599882833,-0.062956306479991,-0.0870292039484573,0.010154627721906
2013/03,-0.0012570038844141,-0.0193812571392808,-0.2172413462040566,0.0686551838523683,0.0045966628972098,0.1474465882842763,-0.0174562266845467,-0.0172276257784619,-0.0175369192468712,0.1051394533462548,-0.0553440552949409,0.2238796610218536,0.3287881452115668,-0.0362478307401307,-0.0588652350407485,0.0821435992891161,-0.0816672591862566,-0.0260150146380846
2013/04,0.0372664568124672,0.0800654052459006,0.0353284401492384,0.0232446213520738,0.0053154409029552,-0.051237197147368,-0.0065541057736127,0.0219291682254645,-0.0166114234254902,0.0384950236090668,0.0957846225548657,0.062666818603591,-0.1783298245614035,-0.1098496326127124,0.0416785638399685,0.035103211958374,0.0616719742752731,0.0594399161037935
2013/05,0.0122900181956004,-0.0031498452849001,0.0821257608547694,0.1165528648280933,-0.0363236328752115,0.1312683654350548,-0.0016577589914933,-0.0095496433414696,0.0012380413028301,0.0048985918073209,0.0670882036139144,0.1037202209525864,-0.1331119025998641,0.0497383230841315,0.0570494745931118,0.0363841871495338,-0.0501446399715055,-0.0362135359294023
2013/06,-0.0393426189890742,-0.0471200826947584,-0.0499345493876427,-0.1249367001391351,-0.0070985645273446,0.0165456690448357,-0.026476849081622,-0.0243051514036387,-0.0272651329394373,-0.1462082325023782,-0.045890061513558,-0.0966590761815141,-0.0489190762761204,-0.0105888678601122,-0.0511178730509586,-0.0342213966597235,0.0241861343548739,-0.0425952297494212
2013/07,0.059233272597462,0.1133183480987121,-0.0388349724670264,-0.08933125766125,0.0259937900264999,0.0784293057847589,0.0288537261651045,0.0656952910446657,0.015440869678768,0.0556111809859185,0.1717051518332872,-0.0762640733374754,0.1229747318822893,0.0708648258391539,0.1840696782664335,0.053978519394179,0.1392745753231472,0.1256710107717533
2013/08,-0.0540370315543704,-0.1343598469573427,0.0792890857510122,-0.1487408922194367,0.0635143196995144,-0.0830911505321668,-0.0071809416257548,-0.03770143184993,0.0044804580897557,-0.0995996220677374,-0.1276111139074849,-0.0181100240513361,-0.0883647854885647,0.027240770326725,0.2476930610854431,0.0171073844494509,-0.1495888855689677,-0.1036743859997393
