날짜,서적/문구,소매판매지수,소비,월
201801,-11.5,-6.7316209034543935,0,1
201802,-7.5,-3.4188034188034178,0,2
201803,47.7,11.406096361848572,1,3
201804,-27.7,-3.0008826125330956,0,4
201805,2.4,2.63876251137396,1,5
201806,-5.3,-3.634751773049638,0,6
201807,10.1,1.9319227230910618,1,7
201808,-3.1,-3.429602888086636,0,8
201809,1.0,2.8037383177569986,0,9
201810,-5.3,3.2727272727272716,0,10
201811,1.9,2.2887323943661997,1,11
201812,16.0,0.1721170395869276,0,12
201901,-4.1,-5.670103092783507,0,1
201902,-10.7,-9.107468123861562,0,2
201903,43.0,16.232464929859724,1,3
201904,-26.6,-3.9655172413793016,0,4
201905,0.6,4.667863554757612,1,5
201906,-4.4,-5.660377358490565,0,6
201907,7.8,0.454545454545463,0,7
201908,-1.6,0.9049773755656076,0,8
201909,-2.4,1.6143497757847403,0,9
201910,-3.3,2.118270079435125,0,10
201911,2.1,4.062229904926529,1,11
201912,12.2,0.9966777408637828,0,12
202001,-6.2,-8.059210526315786,0,1
202002,-10.8,-12.522361359570667,0,2
202003,-4.9,9.304703476482622,0,3
202004,3.5,1.8709073900841977,1,4
202005,10.8,8.723599632690537,1,5
202006,-8.4,-1.266891891891897,0,6
202007,1.1,-5.132591958939258,0,7
202008,-2.9,0.7213706041478751,0,8
202009,-0.7,5.6401074306177135,1,9
202010,-5.2,-1.8644067796610209,0,10
202011,-0.5,2.763385146804831,1,11
202012,12.1,0.08403361344537785,0,12
202101,-1.1,-5.793450881612083,0,1
202102,-9.1,-5.3475935828877,0,2
202103,34.1,12.523540489642171,1,3
202104,-19.6,-0.5020920502092019,0,4
202105,4.5,3.2800672834314426,1,5
202106,-7.8,-2.687296416938112,0,6
202107,9.1,0.585774058577404,0,7
202108,-5.3,-3.0782029950083167,0,8
202109,4.8,5.321888412017173,1,9
202110,-0.9,1.8744906275468542,0,10
202111,-5.4,-0.23999999999999577,0,11
202112,18.6,2.0048115477145245,1,12
202201,-5.1,-7.625786163522019,0,1
202202,-16.4,-8.17021276595744,0,2
202203,40.3,13.067655236329934,1,3
202204,-19.5,-2.1311475409836023,0,4
