날짜,전자상거래/통신판매,종합소매,자동차,가구/가전,의류/잡화,스포츠/오락/여가,식료품,연료,여행/교통,숙박,음식점,서적/문구,교육,의료/보건,공과금/개인및전문서비스,금융/보험,소비자물가지수,소매판매지수,국고채 3년(평균),국고채 5년(평균),국고채 10년(평균),회사채 3년(평균),CD 91물(평균),"콜금리(1일물,평균)",기준금리
201212,0.027613233698307482,0.07790884321047886,0.19290417918252212,-0.12221765560799214,-0.03144865123019669,-0.1358386785312038,0.02448763480127991,-0.019097399392115633,0.07161170349230095,0.15779319713772266,0.12045598350130549,0.1183333271428626,-0.023608712400329024,-0.04940833350755791,0.02944027143163752,-0.008376605398319636,0.0017823955831368643,0.02358974358974364,0.017857142857143016,0.03832752613240409,0.04682274247491636,-0.0060240963855421326,0.010526315789473717,0.0,0.0
201301,-0.04757901002374576,-0.10992969655733631,-0.30905613022980194,-0.006880198434914941,-0.15603929728508104,-0.11397186249051838,0.026437387392908462,-0.023171155681283806,0.05999755897577108,0.001434094788776541,-0.08879073886958178,-0.06921518482845668,0.03982892211454159,0.1347970081358032,0.17538183582572153,-0.010248900512919823,0.005999457553566456,-0.08617234468937873,-0.03508771929824561,-0.04026845637583898,-0.025559105431309903,-0.030303030303030165,-0.00694444444444442,0.0036363636363636598,0.0
201302,-0.13834224299196385,-0.06311088103875084,0.037585213119509575,-0.023820929706390603,-0.06864817401582213,-0.15012354072594702,0.09662551047214185,-0.08892292878753771,-0.14194464578052868,-0.25885770311997824,-0.15363795423999194,-0.10712578055307753,-0.039350422364466286,-0.13313481168034114,-0.1753812164695745,-0.08760227173505253,0.0033431110344233073,-0.04824561403508776,-0.018181818181818077,-0.010489510489510412,-0.003278688524590123,-0.04375000000000007,-0.010489510489510412,-0.0036231884057970065,0.0
201303,0.08568503673865324,0.02972319723417427,0.223547251919068,0.27038729417187746,0.1831539535508364,0.35500962470276654,-0.13337434758306277,0.11223201963619678,0.04586908163774406,0.041970632633456795,0.19808755635580733,0.4711583036270919,0.06701133025199812,0.08781632045639487,0.016725534472358694,0.07834051950783483,-0.0009243534899717742,0.07834101382488479,-0.03703703703703709,-0.04946996466431097,-0.042763157894736836,-0.03594771241830064,-0.007067137809187329,-0.0036363636363635488,0.0
201304,0.045224585721839405,0.052395073991195584,0.004995184137806641,-0.08184244885229175,-0.009763269659283536,0.028387243809926854,0.001930748531521198,-0.027114089448753043,0.06043673150470852,0.008076029522550154,0.00171278576616829,-0.20483531409168088,-0.13856416059294763,-0.03860074752285103,0.027424491234135262,0.02526443493915509,-0.0013878130648077303,-0.018162393162392987,-0.019230769230769384,-0.02230483271375472,-0.024054982817869552,-0.013559322033898313,-0.003558718861210064,0.0036496350364962904,0.0
201305,0.030078493205603074,0.04471042450320262,0.038395211534231644,0.1689773109495567,0.15377129365569653,0.14051089498433922,0.11819661954992822,-0.004201087304385287,0.10265781040104494,0.09228445707954891,0.07093032672118516,-0.10421563268652634,0.08472960052026934,0.0316203157087902,-0.018482794637222244,-0.004087320460382293,0.0,0.052230685527747456,0.015686274509803866,0.019011406844106515,0.021126760563380254,0.01718213058419238,-0.02857142857142847,-0.07272727272727275,-0.09090909090909094
201306,-0.07785814454331463,-0.07021614154598921,-0.17374990242165633,-0.016246126730804056,-0.15316454852174377,-0.1257991059821103,-0.08058182198804131,-0.039127643090978825,-0.07666780146473351,-0.0817269739202825,-0.06537554515457122,-0.07959910607366494,-0.042505355993657234,-0.05788082169189224,-0.008852128043670304,-0.07347925459621418,-0.0012173706947631313,-0.03619441571871773,0.10810810810810811,0.14925373134328357,0.14137931034482754,0.09459459459459474,-0.011029411764705954,-0.023529411764705688,0.0
201307,0.15042895970200254,0.09990599051932958,0.09079822035211582,0.11437694931091769,-0.058975632916625,-0.04547287578205794,-0.006796138215927394,0.0601935830273832,0.21076199022773023,0.22353866754198126,0.0891111367073183,0.1604072229450324,0.10656032003379257,0.06314885037060791,0.17725039450058544,0.16319337779747856,0.0021464782655593595,0.02253218884120156,0.013937282229965264,0.032467532467532534,0.048338368580060465,0.043209876543209846,-0.0037174721189590088,-0.004016064257028162,0.0
201308,-0.1343598469573427,-0.07085616687194063,-0.09959962206773743,-0.08309115053216687,-0.14874089221943687,-0.018110024051336104,0.07928908575101223,0.06351431969951449,-0.1276111139074848,0.2476930610854431,0.017107384449450924,-0.08836478548856486,0.027240770326725228,-0.007180941625754778,-0.14958888556896788,-0.10367438599973944,0.0035410993552831282,-0.044071353620146914,0.010309278350515427,0.025157232704402288,0.040345821325648235,-0.014792899408283988,-0.007462686567164201,0.008064516129032251,0.0
201309,0.04561122441829846,0.09250416062212286,-0.1409465690406264,-0.21890623405774912,0.20055299611644584,0.02754184411099425,0.30918031978546945,-0.09269915192121225,-0.09477981161740734,-0.32012750766206377,-0.12262093858387824,0.014355210177511069,-0.15559757363790372,-0.11193381870910879,-0.014883374096316349,0.010495404861601942,0.0019412685814796937,0.03183315038419332,-0.013605442176870763,-0.027607361963190136,-0.02216066481994461,-0.012012012012012074,0.0,0.0,0.0
201310,0.08304974421740807,-0.05534038272289199,0.2196525003465164,0.10655858654029893,0.1766157443530103,0.18133110299524002,-0.24401617223341676,0.030266105076111494,0.06726825397331271,0.12261801971847963,0.07659902064076474,-0.011676892957953267,0.040431744815463855,0.14741548095984203,0.07488260787459544,0.09429066251797935,-0.003050771256382534,0.03297872340425534,-0.024137931034482696,-0.028391167192428957,-0.025495750708215303,-0.012158054711246202,0.0,0.0,0.0
