날짜,전자상거래/통신판매,식료품,의류/잡화,연료,가구/가전,의료/보건,자동차,여행/교통,스포츠/오락/여가,서적/문구,교육,숙박,음식점,공과금/개인및전문서비스,금융/보험,소비판매지수,소비자물가지수
201211,3.9,-6.9,2.8,-1.1,8.7,0.3,6.6,-2.3,-3.8,9.0,1.4,-3.9,-2.4,-6.8,-3.5,0.024159663865546133,-0.0035521285697267535
201212,2.8,2.4,-3.1,-1.9,-12.2,-4.9,19.3,7.2,-13.6,11.8,-2.4,15.8,12.0,2.9,-0.8,0.02358974358974364,0.0017823955831368643
201301,-4.8,2.6,-15.6,-2.3,-0.7,13.5,-30.9,6.0,-11.4,-6.9,4.0,0.1,-8.9,17.5,-1.0,-0.08617234468937873,0.005999457553566456
201302,-13.8,9.7,-6.9,-8.9,-2.4,-13.3,3.8,-14.2,-15.0,-10.7,-3.9,-25.9,-15.4,-17.5,-8.8,-0.04824561403508776,0.0033431110344233073
201303,8.6,-13.3,18.3,11.2,27.0,8.8,22.4,4.6,35.5,47.1,6.7,4.2,19.8,1.7,7.8,0.07834101382488479,-0.0009243534899717742
201304,4.5,0.2,-1.0,-2.7,-8.2,-3.9,0.5,6.0,2.8,-20.5,-13.9,0.8,0.2,2.7,2.5,-0.018162393162392987,-0.0013878130648077303
201305,3.0,11.8,15.4,-0.4,16.9,3.2,3.8,10.3,14.1,-10.4,8.5,9.2,7.1,-1.8,-0.4,0.052230685527747456,0.0
201306,-7.8,-8.1,-15.3,-3.9,-1.6,-5.8,-17.4,-7.7,-12.6,-8.0,-4.3,-8.2,-6.5,-0.9,-7.3,-0.03619441571871773,-0.0012173706947631313
201307,15.0,-0.7,-5.9,6.0,11.4,6.3,9.1,21.1,-4.5,16.0,10.7,22.4,8.9,17.7,16.3,0.02253218884120156,0.0021464782655593595
201308,-13.4,7.9,-14.9,6.4,-8.3,-0.7,-10.0,-12.8,-1.8,-8.8,2.7,24.8,1.7,-15.0,-10.4,-0.044071353620146914,0.0035410993552831282
