날짜,평균기온,평균최고기온,평균최저기온,일교차,기온등락률,일교차등락률,월
201309,21.8,25.9,18.0,7.899999999999999,-0.21299638989169667,0.2539682539682535,9
201310,15.8,21.2,10.9,10.299999999999999,-0.27522935779816515,0.30379746835443044,10
201311,6.2,10.7,2.1,8.6,-0.6075949367088608,-0.16504854368932032,11
201312,-0.2,3.5,-3.5,7.0,-1.032258064516129,-0.18604651162790697,12
201401,-0.7,3.5,-4.9,8.4,2.4999999999999996,0.19999999999999996,1
201402,1.9,6.6,-1.8,8.4,-3.7142857142857144,0.0,2
201403,7.9,13.1,3.5,9.6,3.1578947368421053,0.1428571428571428,3
201404,14.0,19.6,9.4,10.200000000000001,0.7721518987341771,0.06250000000000022,4
201405,18.9,25.3,13.8,11.5,0.34999999999999987,0.12745098039215685,5
201406,23.1,27.8,19.7,8.100000000000001,0.22222222222222232,-0.2956521739130433,6
201407,26.1,30.6,22.9,7.700000000000003,0.1298701298701299,-0.04938271604938249,7
201408,25.2,29.0,22.1,6.899999999999999,-0.034482758620689724,-0.10389610389610437,8
201409,22.1,27.0,18.0,9.0,-0.12301587301587291,0.30434782608695676,9
201410,15.6,21.4,10.7,10.7,-0.2941176470588236,0.18888888888888888,10
201411,9.0,13.8,4.9,8.9,-0.423076923076923,-0.16822429906542047,11
201412,-2.9,1.5,-6.7,8.2,-1.3222222222222222,-0.07865168539325851,12
201501,-0.9,3.6,-4.8,8.4,-0.6896551724137931,0.024390243902439046,1
201502,1.0,6.0,-2.9,8.9,-2.111111111111111,0.059523809523809534,2
201503,6.3,12.4,1.0,11.4,5.3,0.2808988764044944,3
201504,13.3,18.8,8.4,10.4,1.1111111111111112,-0.08771929824561409,4
201505,18.9,24.9,13.6,11.299999999999999,0.4210526315789471,0.08653846153846145,5
201506,23.6,29.5,18.9,10.600000000000001,0.24867724867724883,-0.06194690265486702,6
201507,25.8,30.0,22.6,7.399999999999999,0.09322033898305082,-0.30188679245283045,7
201508,26.3,30.8,22.8,8.0,0.019379844961240345,0.08108108108108136,8
201509,22.4,28.1,17.5,10.600000000000001,-0.14828897338403046,0.3250000000000002,9
201510,15.5,21.2,10.8,10.399999999999999,-0.3080357142857142,-0.018867924528302105,10
201511,8.9,12.7,5.9,6.799999999999999,-0.4258064516129032,-0.34615384615384615,11
201512,1.6,6.0,-2.1,8.1,-0.8202247191011236,0.1911764705882355,12
201601,-3.2,1.1,-6.8,7.9,-3.0,-0.024691358024691246,1
201602,0.2,5.1,-4.1,9.2,-1.0625,0.16455696202531622,2
201603,7.0,12.6,2.4,10.2,34.0,0.10869565217391308,3
201604,14.1,20.3,9.1,11.200000000000001,1.0142857142857142,0.0980392156862746,4
201605,19.6,25.7,14.1,11.6,0.39007092198581583,0.03571428571428559,5
201606,23.6,28.7,19.5,9.2,0.20408163265306123,-0.206896551724138,6
201607,26.2,29.8,23.3,6.5,0.11016949152542366,-0.2934782608695652,7
201608,28.0,32.6,24.5,8.100000000000001,0.06870229007633588,0.2461538461538464,8
201609,23.1,27.9,19.3,8.599999999999998,-0.17499999999999993,0.061728395061728,9
201610,16.1,21.3,11.6,9.700000000000001,-0.303030303030303,0.1279069767441865,10
