날짜,전자상거래/통신판매,가구/가전,의류/잡화,스포츠/오락/여가,식료품,연료,여행/교통,숙박,음식점,서적/문구,교육,의료/보건,자동차,공과금/개인및전문서비스,금융/보험,소비자물가지수,소매판매지수,국고채 3년(평균),국고채 5년(평균),국고채 10년(평균),회사채 3년(평균),CD 91물(평균),"콜금리(1일물,평균)",기준금리
201211,,,,,,,,,,,,,,,,,,,,,,,,
201212,-0.005535580291960551,-0.15053321510450846,-0.06269224312599675,-0.16371485019148757,-0.008560353418116229,-0.050739418766563515,0.03704358402480734,0.12044502948811853,0.08431224209803756,0.08225805852535073,-0.05510520554870546,-0.08007258081376578,0.15442339920889236,-0.003767479259705553,-0.04036445683708356,0.0017823955831368643,0.02358974358974364,0.017857142857143016,0.03832752613240409,0.04682274247491636,-0.0060240963855421326,0.010526315789473717,0.0,0.0
201301,-0.04757901002374576,-0.0068801984349150525,-0.15603929728508104,-0.11397186249051838,0.026437387392908462,-0.023171155681283695,0.05999755897577108,0.001434094788776541,-0.08879073886958178,-0.06921518482845657,0.03982892211454159,0.13479700813580342,-0.30905613022980194,0.17538183582572153,-0.010248900512919934,0.005999457553566456,-0.08617234468937873,-0.03508771929824561,-0.04026845637583898,-0.025559105431309903,-0.030303030303030165,-0.00694444444444442,0.0036363636363636598,0.0
201302,-0.046021769026817094,0.0807696849679247,0.03113952162533984,-0.05906534866086999,0.21412110087987135,0.008692471699511817,-0.05001014354272815,-0.17944959988283304,-0.06295630647999106,-0.01146068561233582,0.06357631809648367,-0.040256398646091984,0.1487550573823142,-0.08702920394845737,0.010154627721906007,0.0033431110344233073,-0.04824561403508776,-0.018181818181818077,-0.010489510489510412,-0.003278688524590123,-0.04375000000000007,-0.010489510489510412,-0.0036231884057970065,0.0
201303,-0.01938125713928085,0.14744658828427637,0.06865518385236835,0.22387966102185364,-0.21724134620405666,0.0045966628972098356,-0.05534405529494091,-0.05886523504074859,0.08214359928911619,0.32878814521156685,-0.036247830740130715,-0.017456226684546716,0.10513945334625485,-0.08166725918625661,-0.026015014638084644,-0.0009243534899717742,0.07834101382488479,-0.03703703703703709,-0.04946996466431097,-0.042763157894736836,-0.03594771241830064,-0.007067137809187329,-0.0036363636363635488,0.0
201304,0.08006540524590067,-0.051237197147368074,0.023244621352073835,0.06266681860359102,0.035328440149238416,0.005315440902955215,0.09578462255486575,0.041678563839968596,0.03510321195837407,-0.17832982456140356,-0.10984963261271241,-0.006554105773612706,0.03849502360906687,0.061671974275273156,0.05943991610379351,-0.0013878130648077303,-0.018162393162392987,-0.019230769230769384,-0.02230483271375472,-0.024054982817869552,-0.013559322033898313,-0.003558718861210064,0.0036496350364962904,0.0
201305,-0.0031498452849001435,0.13126836543505482,0.11655286482809335,0.10372022095258648,0.08212576085476941,-0.036323632875211564,0.06708820361391443,0.057049474593111826,0.03638418714953384,-0.13311190259986416,0.04973832308413151,-0.001657758991493341,0.0048985918073209955,-0.050144639971505534,-0.03621353592940235,0.0,0.052230685527747456,0.015686274509803866,0.019011406844106515,0.021126760563380254,0.01718213058419238,-0.02857142857142847,-0.07272727272727275,-0.09090909090909094
201306,-0.047120082694758425,0.016545669044835787,-0.12493670013913516,-0.09665907618151415,-0.049934549387642746,-0.007098564527344697,-0.04589006151355801,-0.05111787305095861,-0.03422139665972357,-0.048919076276120466,-0.010588867860112261,-0.026476849081622067,-0.14620823250237824,0.024186134354873934,-0.042595229749421204,-0.0012173706947631313,-0.03619441571871773,0.10810810810810811,0.14925373134328357,0.14137931034482754,0.09459459459459474,-0.011029411764705954,-0.023529411764705688,0.0
201307,0.11331834809871211,0.07842930578475893,-0.08933125766125005,-0.07626407333747542,-0.038834972467026496,0.02599379002649993,0.17170515183328727,0.1840696782664335,0.05397851939417908,0.12297473188228936,0.07086482583915399,0.02885372616510451,0.05561118098591855,0.13927457532314724,0.12567101077175336,0.0021464782655593595,0.02253218884120156,0.013937282229965264,0.032467532467532534,0.048338368580060465,0.043209876543209846,-0.0037174721189590088,-0.004016064257028162,0.0
201308,-0.1343598469573427,-0.08309115053216687,-0.14874089221943676,-0.018110024051336104,0.07928908575101223,0.06351431969951449,-0.12761111390748492,0.2476930610854431,0.017107384449450924,-0.08836478548856475,0.027240770326725006,-0.007180941625754889,-0.09959962206773743,-0.14958888556896777,-0.10367438599973933,0.0035410993552831282,-0.044071353620146914,0.010309278350515427,0.025157232704402288,0.040345821325648235,-0.014792899408283988,-0.007462686567164201,0.008064516129032251,0.0
201309,0.08046493189890835,-0.1928697751930074,0.24057142932032738,0.061793238914694015,0.3528196637783183,-0.062455790318585835,-0.06460580533798754,-0.29746509125079923,-0.09337496987000748,0.04816705051676129,-0.12745082609250047,-0.08233161266607902,-0.11231145467531412,0.017953846767139847,0.04417858502365535,0.0019412685814796937,0.03183315038419332,-0.013605442176870763,-0.027607361963190136,-0.02216066481994461,-0.012012012012012074,0.0,0.0,0.0
201310,0.04811265569426615,0.07086314826480544,0.13866039776097772,0.14322364805990961,-0.26840274732266123,-0.002968285410214655,0.032840245780625166,0.08640453521143199,0.04187001997493378,-0.04355828350769653,0.006869430466578175,0.11040207834823423,0.1803088713030805,0.04020897536251189,0.058990963727076684,-0.003050771256382534,0.03297872340425534,-0.024137931034482696,-0.028391167192428957,-0.025495750708215303,-0.012158054711246202,0.0,0.0,0.0
