,날짜,서적/문구,소비자물가지수,소매판매지수,소비
0,201212,0.1183333271428626,0.0017823955831368,0.0235897435897436,1
1,201301,-0.0692151848284566,0.0059994575535664,-0.0861723446893787,0
2,201302,-0.1071257805530775,0.0033431110344233,-0.0482456140350877,0
3,201303,0.4711583036270919,-0.0009243534899717,0.0783410138248847,1
4,201304,-0.2048353140916808,-0.0013878130648077,-0.0181623931623929,0
5,201305,-0.1042156326865263,0.0,0.0522306855277474,1
6,201306,-0.0795991060736649,-0.0012173706947631,-0.0361944157187177,0
7,201307,0.1604072229450324,0.0021464782655593,0.0225321888412015,1
8,201308,-0.0883647854885648,0.0035410993552831,-0.0440713536201469,0
9,201309,0.014355210177511,0.0019412685814796,0.0318331503841933,1
10,201310,-0.0116768929579532,-0.0030507712563825,0.0329787234042553,1
11,201311,0.0141160934404902,-0.0001932699121696,0.0164778578784758,1
12,201312,0.1684298934358652,0.0012135401005197,0.0121580547112463,1
13,201401,-0.1038116591928252,0.0053738643555116,-0.035035035035035,0
14,201402,-0.0813588132275677,0.0026672356769443,-0.1006224066390041,0
15,201403,0.4592743598883384,0.0018408171951478,0.1038062283737024,1
16,201404,-0.2861404779940498,0.000647881639459,-0.0334378265412748,0
17,201405,-0.021034298478656,0.001645190735984,0.0605405405405405,1
18,201406,-0.0912429112273592,-0.0012822007226949,-0.0366972477064219,0
19,201407,0.1921216966658745,0.0014642220524572,0.0201058201058201,1
20,201408,-0.0682614889922458,0.0017481406140742,-0.0248962655601659,0
21,201409,0.0201851210601469,-0.0006451544669014,0.0180851063829787,1
22,201410,-0.0353191538047893,-0.0030161921896496,0.0177638453500523,0
23,201411,0.0368771447095845,-0.0020168780850272,0.0266940451745378,1
24,201412,0.1420984001586114,-9.57294048822277e-05,0.052,1
25,201501,-0.0751539835417048,0.006776163223624,-0.1045627376425855,0
26,201502,-0.1165673403529542,-0.0005916972200796,-0.0138004246284501,0
27,201503,0.5148402386205768,9.515049636843464e-05,0.0678148546824541,1
28,201504,-0.2626975093191492,0.0003065668738635,-0.0050403225806451,0
29,201505,-0.0460912606228666,0.0028005284015852,0.0395136778115501,0
30,201506,-0.090228187919463,0.0002002318474023,-0.074074074074074,0
31,201507,0.1902682286287587,0.0018017258637219,0.0305263157894737,1
32,201508,-0.080039949142758,0.0013988220445939,-0.0234933605720123,0
33,201509,0.0163074234194,-0.0025941835673699,0.0690376569037658,1
34,201510,-0.0218488986533835,0.0,0.0401174168297455,1
35,201511,-0.0610741711749739,-0.0018954152012298,0.0,0
36,201512,0.2811809153000957,0.0029962230709175,0.0253998118532454,1
37,201601,-0.1113929755657856,0.0017040075733669,-0.0862385321100918,0
38,201602,-0.0757785442056603,0.0042842741935484,-0.0401606425702811,0
39,201603,0.4558172716974178,-0.0025826014219991,0.0930962343096235,1
40,201604,-0.2844087831015495,0.0018869309068798,-0.0229665071770335,0
41,201605,-0.0306358577249997,0.0005964027497304,0.0509304603330069,1
42,201606,-0.033688500727802,-0.000198682421834,-0.0363466915191051,0
43,201607,0.1451961469555647,-0.0018826285678427,-0.0125725338491297,1
44,201608,-0.0851725057174527,0.0025777787092244,-0.0127326150832517,0
45,201609,0.0091369195966413,0.0059575446554551,0.0138888888888888,0
46,201610,-0.0236860402822262,0.0013714713185866,0.0606653620352251,0
47,201611,0.0197424491845001,-0.0014733500036315,0.0064575645756457,1
48,201612,0.164018135189595,0.0010910564543782,0.0192483959670028,1
49,201701,-0.1406937477459755,0.0106288015611051,-0.0710431654676259,0
50,201702,-0.0057421488990716,0.0027319598217037,-0.0784123910939011,0
51,201703,0.4110525265549212,-0.0006862504097018,0.1071428571428572,1
52,201704,-0.2647392367333951,-0.0012606979962076,-0.0142314990512334,0
53,201705,-0.035323011369941,0.0010673015742699,0.0356111645813281,1
54,201706,-0.0301826603070409,-0.0021323273122425,-0.0315985130111523,0
55,201707,0.1093065549142089,0.0016540302862191,0.0067178502879079,1
56,201708,-0.0506472122827776,0.0057333921373554,-0.0343183984747379,0
57,201709,0.0779571809878481,0.0011625772501988,0.0809476801579467,1
58,201710,-0.1672825038395502,-0.0009676893615286,-0.0136986301369863,0
59,201711,0.0755596819860398,-0.0074431314171519,0.0648148148148148,1
60,201712,0.1798379319998755,0.003605658109649,-0.0182608695652173,1
61,201801,-0.1146605762195726,0.0041761346189277,-0.0673162090345439,0
62,201802,-0.0754220410594301,0.0076345993109494,-0.0341880341880341,0
63,201803,0.4773929638367946,-0.0010520459258509,0.1140609636184857,1
64,201804,-0.2773459855128547,0.0018227663517331,-0.0300088261253309,0
65,201805,0.0238936551334025,0.0004851866452375,0.0263876251137396,1
66,201806,-0.0525724556279488,-0.0020206306388224,-0.0363475177304963,0
67,201807,0.1005492988955709,-0.0019133621518743,0.0193192272309106,1
68,201808,-0.0313455927545548,0.008844710416878,-0.0342960288808663,0
69,201809,0.0099114605364878,0.0076310550763105,0.0280373831775699,0
70,201810,-0.0529778368346176,-0.0017960307719939,0.0327272727272727,0
71,201811,0.0187285053036139,-0.0071070860947011,0.0228873239436619,1
72,201812,0.1595929427440059,-0.0034430685593476,0.0017211703958692,1
73,201901,-0.041497351747911,-0.0010506323998868,-0.056701030927835,0
74,201902,-0.1068188705929891,0.0043181910116905,-0.0910746812386156,0
75,201903,0.4297449933647002,-0.0019131818227589,0.1623246492985972,1
76,201904,-0.265849587461139,0.0036319246173868,-0.039655172413793,0
77,201905,0.0058150184794749,0.0017189212010333,0.0466786355475761,1
78,201906,-0.0440193403705237,-0.0016156223658331,-0.0566037735849056,0
